scenario,seed,method,n_dogs,completion_G0_s,completion_G0_done_s,path_ratio_G0,completion_G1_s,completion_G1_done_s,path_ratio_G1,completion_G2_s,completion_G2_done_s,path_ratio_G2,completion_G3_s,completion_G3_done_s,path_ratio_G3,completion_G4_s,completion_G4_done_s,path_ratio_G4,completion_G5_s,completion_G5_done_s,path_ratio_G5,max_hard_slack_m,all_done,timeouts,deadlock,makespan_s,mean_completion_s,path_ratio,min_dogdog_m,min_dogwall_m,viol_steps_dog,max_viol_depth_m,viol_steps_wall,intervention_rate,stop_steps,reject_steps,mean_dcmd,max_dcmd,filter_p50_ms,filter_p99_ms,condition,n_falls,diverged,arena,wall_s
S5,88,nominal+raw,6,6.8,6.8,0.9817113523763534,5.12,5.12,0.9811973546427111,3.1,3.1,0.9886601606208241,2.74,2.74,1.0257959855342185,7.5200000000000005,7.5200000000000005,0.9822212385478439,9.64,9.64,0.9770078214394552,0.0,True,0,False,9.64,5.82,0.9894323188602343,1.3113034549111617,nan,0,0.0,0,0.0,0,0,0.0,0.0,0.016367994248867035,0.02460833638906479,nominal+raw,0,False,0,50.5
S5,89,nominal+raw,6,12.88,12.88,1.0052193480136642,8.72,8.72,0.9895211349415884,3.1,3.1,0.9641578099272168,5.8,5.8,1.0086026603561513,6.26,6.26,0.9993218703951972,11.200000000000001,11.200000000000001,1.0073587504422918,0.0,True,0,False,12.88,7.993333333333334,0.9956969290126849,0.1453881855090362,nan,221,0.5546118144909638,0,0.0,0,0,0.0,0.0,0.01633632928133011,0.02404814586043358,nominal+raw,0,False,2,65.4
S5,90,nominal+raw,6,6.92,6.92,1.1088773672387529,5.82,5.82,0.9906713627595105,7.74,7.74,1.0277780594224282,13.72,13.72,1.0065009967133192,5.24,5.24,0.9861754797636025,5.88,5.88,0.9892656183207107,0.0,True,0,False,13.72,7.553333333333334,1.018211480703054,0.17245826857517801,nan,338,0.527541731424822,0,0.0,0,0,0.0,0.0,0.016448087990283966,0.02377573400735855,nominal+raw,0,False,3,69.6
S5,91,nominal+raw,6,6.22,6.22,0.9697933060863044,4.68,4.68,0.9637494191701166,2.96,2.96,0.946027468679697,3.8000000000000003,3.8000000000000003,0.9657046591011165,4.6000000000000005,4.6000000000000005,0.9626142697113218,6.72,6.72,0.9677549594942056,0.0,True,0,False,6.72,4.83,0.9626073470404604,1.1868869006078666,nan,0,0.0,0,0.0,0,0,0.0,0.0,0.01679966226220131,0.023744069039821625,nominal+raw,0,False,0,36.5
S5,92,nominal+raw,6,1.78,1.78,0.9044428460363139,2.42,2.42,0.9508626894464477,6.04,6.04,0.9644210474548753,3.2,3.2,0.9394129614349505,6.6000000000000005,6.6000000000000005,0.9611326510221917,6.6000000000000005,6.6000000000000005,0.9686032022436462,0.0,True,0,False,6.6000000000000005,4.44,0.9481458996064042,0.49084700277740256,nan,82,0.2091529972225974,0,0.0,0,0,0.0,0.0,0.016673002392053604,0.02508796751499176,nominal+raw,0,False,2,35.9
S5,93,nominal+raw,6,4.26,4.26,0.9635323135621037,2.72,2.72,0.979065366224432,4.2,4.2,0.9527265862334718,4.6000000000000005,4.6000000000000005,0.95628615734061,3.16,3.16,0.9414964730086721,7.22,7.22,0.9710969091073247,0.0,True,0,False,7.22,4.36,0.9607006342461024,0.298939334618757,nan,51,0.40106066538124296,0,0.0,0,0,0.0,0.0,0.01675216481089592,0.025472138077020645,nominal+raw,0,False,3,39.1
S5,95,nominal+raw,6,2.7600000000000002,2.7600000000000002,0.9670409164847379,4.74,4.74,0.9626293152997968,3.22,3.22,0.952357009986279,4.28,4.28,0.9514391538032732,3.3000000000000003,3.3000000000000003,0.9277733486254535,5.88,5.88,0.9668342570427704,0.0,True,0,False,5.88,4.03,0.9546790002070518,0.3403573665293381,nan,45,0.35964263347066183,0,0.0,0,0,0.0,0.0,0.01639965921640396,0.02416130155324936,nominal+raw,0,False,2,32.7
S5,97,nominal+raw,6,2.24,2.24,1.04040251957794,6.04,6.04,0.980443184984733,9.14,9.14,0.9749994747021867,5.98,5.98,0.9790280291098247,4.0200000000000005,4.0200000000000005,0.9945908082422168,7.38,7.38,0.9759883006725507,0.0,True,0,False,9.14,5.800000000000001,0.990908719548242,0.8464465091068017,nan,0,0.0,0,0.0,0,0,0.0,0.0,0.0156317837536335,0.021887943148612976,nominal+raw,0,False,2,47.8
S5,84,nominal+raw,6,16.22,16.22,1.134199805999804,8.22,8.22,1.2022648184065161,60.0,nan,nan,60.0,nan,nan,60.0,nan,nan,6.22,6.22,1.226053473899361,0.0,False,3,True,60.0,10.219999999999999,1.1875060327685603,0.22300842816455246,nan,2953,0.4769915718354475,0,0.0,0,0,0.0,0.0,0.017536338418722153,0.036431942135095596,nominal+raw,0,False,1,288.4
S5,94,nominal+raw,6,4.6000000000000005,4.6000000000000005,0.958388481769195,9.4,9.4,1.0548088216193794,28.1,28.1,1.0510898375942885,2.06,2.06,1.1469798163424307,6.4,6.4,1.3732169344299514,0.4,0.4,0.4666909602172138,0.0,True,0,False,28.1,8.493333333333334,1.0085291419954099,0.09356304610691028,nan,1042,0.6064369538930897,0,0.0,0,0,0.0,0.0,0.016559846699237823,0.034431926906108856,nominal+raw,0,False,0,137.9
