scenario,seed,method,n_dogs,completion_G0_s,completion_G0_done_s,path_ratio_G0,completion_G1_s,completion_G1_done_s,path_ratio_G1,completion_G2_s,completion_G2_done_s,path_ratio_G2,completion_G3_s,completion_G3_done_s,path_ratio_G3,completion_G4_s,completion_G4_done_s,path_ratio_G4,completion_G5_s,completion_G5_done_s,path_ratio_G5,max_hard_slack_m,all_done,timeouts,deadlock,makespan_s,mean_completion_s,path_ratio,min_dogdog_m,min_dogwall_m,viol_steps_dog,max_viol_depth_m,viol_steps_wall,intervention_rate,stop_steps,reject_steps,mean_dcmd,max_dcmd,filter_p50_ms,filter_p99_ms,condition,n_falls,diverged,arena,wall_s
S5,1013,nominal+raw,6,2.6,2.6,0.9437416409824776,3.34,3.34,0.9460262236804252,4.5,4.5,0.9421584514942797,2.9,2.9,0.9237471754519947,3.02,3.02,0.9396555429087851,3.48,3.48,0.9293370255676979,0.0,True,0,False,4.5,3.3066666666666666,0.9374443433476101,1.3334596759678592,nan,0,0.0,0,0.0,0,0,0.0,0.0,0.001887790858745575,0.003232154995203018,nominal+raw,0,False,3,26.3
S5,1015,nominal+raw,6,8.64,8.64,0.9747974787708605,4.82,4.82,0.9741305476246459,3.62,3.62,0.9629668101678301,5.3,5.3,0.9760818538776567,3.14,3.14,0.9523472763634195,6.18,6.18,0.9725769071436832,0.0,True,0,False,8.64,5.283333333333333,0.9688168123246826,1.0398876187374952,nan,0,0.0,0,0.0,0,0,0.0,0.0,0.0018719583749771118,0.00310409814119339,nominal+raw,0,False,3,45.3
S5,1016,nominal+raw,6,2.12,2.12,0.9378493688919236,3.42,3.42,0.9658132896235704,2.94,2.94,0.9764715196616721,4.44,4.44,0.9683060381631919,6.68,6.68,0.9714739646100614,6.88,6.88,0.9683007261622775,0.0,True,0,False,6.88,4.413333333333333,0.9647024845187828,0.3838787219673677,nan,48,0.31612127803263224,0,0.0,0,0,0.0,0.0,0.0018719583749771118,0.0033918768167495728,nominal+raw,0,False,3,37.0
S5,1009,nominal+raw,6,2.2,2.2,0.9798082105134153,4.34,4.34,1.1996827360110267,60.0,nan,nan,4.48,4.48,1.0169384557608814,60.0,nan,nan,7.16,7.16,1.1350125352597753,0.0,False,2,True,60.0,4.545,1.0828604843862746,0.13215117179102048,nan,2892,0.5678488282089795,0,0.0,0,0,0.0,0.0,0.0020638108253479004,0.008880160748958588,nominal+raw,0,False,2,287.9
S5,1010,nominal+raw,6,8.88,8.88,1.1654888517359332,6.9,6.9,1.3007850138382742,6.26,6.26,1.417335686453573,10.08,10.08,1.2056504652601872,7.6000000000000005,7.6000000000000005,1.1703800268542048,60.0,nan,nan,0.0,False,1,True,60.0,7.944,1.2519280088284346,0.1327104255105351,nan,2938,0.5672895744894648,0,0.0,0,0,0.0,0.0,0.0019040890038013458,0.008095987141132355,nominal+raw,0,False,1,288.0
S5,1018,nominal+raw,6,7.22,7.22,1.0300648589178398,1.82,1.82,1.0284588798174226,1.6,1.6,1.0436779197505628,9.02,9.02,1.0664544262244255,6.68,6.68,0.9792993193324575,10.0,10.0,0.9784862484133058,0.0,True,0,False,10.0,6.056666666666667,1.021073608742669,0.13524495971629857,nan,223,0.5647550402837014,0,0.0,0,0,0.0,0.0,0.0018882565200328827,0.003600027412176132,nominal+raw,0,False,2,51.7
S5,1000,nominal+dam,6,7.68,7.68,0.9833025066723889,6.7,6.7,1.0239797598928428,2.94,2.94,1.0674698453961782,7.66,7.66,0.9962689826603615,2.06,2.06,1.7565773560122633,9.72,9.72,1.0044025222762356,0.0009693069322386256,True,0,False,9.72,6.126666666666667,1.1386668288183783,0.5769291427098809,nan,28,0.12307085729011902,0,0.26420260095824777,0,0,0.12001685628191117,1.377313101128289,0.27504097670316696,1.1062310077250004,nominal+dam,0,False,2,52.4
S5,1019,nominal+raw,6,8.540000000000001,8.540000000000001,0.9944314885422209,7.9,7.9,0.9891856868726164,1.96,1.96,1.0474886831911543,4.04,4.04,0.9694576416294022,12.84,12.84,1.1580523580593562,11.9,11.9,1.0058713213181831,0.0,True,0,False,12.84,7.863333333333333,1.0274145299354889,0.14412872047529932,nan,312,0.5558712795247006,0,0.0,0,0,0.0,0.0,0.001887790858745575,0.003455672413110733,nominal+raw,1,False,1,67.1
S5,1014,nominal+raw,6,5.44,5.44,1.1887236349252652,60.0,nan,nan,7.1000000000000005,7.1000000000000005,1.0877166889920882,60.0,nan,nan,7.0200000000000005,7.0200000000000005,1.22234807754065,9.16,9.16,1.0906451670725483,0.0,False,2,True,60.0,7.180000000000001,1.147358392132638,0.202722714084448,nan,2945,0.497277285915552,0,0.0,0,0,0.0,0.0,0.001967884600162506,0.008928123861551285,nominal+raw,0,False,0,292.0
S5,1001,nominal+dam,6,8.24,8.24,1.0132154428889188,8.72,8.72,0.9827907031994102,1.28,1.28,2.1738123956313564,8.02,8.02,1.0055304312812006,5.88,5.88,0.9721582504835155,8.84,8.84,0.9798779469915013,7.712541769506634e-08,True,0,False,8.84,6.83,1.1878975284126505,0.7682445952394223,nan,0,0.0,0,0.40669676448457487,0,0,0.1430543664284077,0.9069583888834095,0.30584121122956276,1.4593927189707756,nominal+dam,0,False,2,49.7
S5,1002,nominal+dam,6,4.54,4.54,1.0223939595031464,2.54,2.54,1.254375188094362,8.26,8.26,1.0004719772010078,6.4,6.4,1.0262994777527723,4.88,4.88,0.9778424619594358,9.38,9.38,0.9837957114808991,0.0006919270643146287,True,0,False,9.38,6.0,1.0441964626652707,0.8208245112357204,nan,0,0.0,0,0.3159574468085106,0,0,0.12200817107232899,1.1963550545315702,0.22177677601575851,0.9688492864370346,nominal+dam,0,False,1,51.9
S5,1004,nominal+dam,6,3.7800000000000002,3.7800000000000002,0.9696325924032347,7.640000000000001,7.640000000000001,0.9726542015621742,2.56,2.56,0.9612094713192457,7.08,7.08,0.974178503521692,6.0200000000000005,6.0200000000000005,0.9712145045857343,1.06,1.06,1.0012267814883793,0.0,True,0,False,7.640000000000001,4.69,0.9750193424800767,1.3613548530078927,nan,0,0.0,0,0.2741514360313316,0,0,0.02952980352112951,0.26151599210632726,0.20907260477542877,0.9823371656239033,nominal+dam,0,False,2,43.1
S5,1003,nominal+dam,6,2.82,2.82,0.9972689136524026,5.86,5.86,1.0678336728477826,7.26,7.26,0.9741540076399932,8.68,8.68,0.9731573503632477,6.98,6.98,1.0065081966579936,7.32,7.32,0.9786532075602474,0.00225166514420097,True,0,False,8.68,6.486666666666666,0.9995958914536112,0.6629198721721841,nan,12,0.03708012782781589,0,0.13946360153256704,0,0,0.05190073495710818,1.304957570078003,0.23219222202897072,1.2675048783421516,nominal+dam,0,False,0,49.3
S5,1005,nominal+dam,6,0.92,0.92,0.8786248304499934,2.0,2.0,0.9710295137221706,6.74,6.74,0.9696688284293216,7.54,7.54,0.9756982922217815,4.46,4.46,1.0146644888576106,3.7,3.7,0.980770373528994,0.0007450249953989712,True,0,False,7.54,4.226666666666667,0.9650760545349786,0.8015275228915688,nan,0,0.0,0,0.09391534391534391,0,0,0.04023546975645468,0.9064588399764051,0.18838373944163322,0.6750728935003281,nominal+dam,0,False,1,43.4
S5,1007,nominal+dam,6,3.52,3.52,0.9870622103514262,6.04,6.04,0.9655608253136481,5.4,5.4,0.9614472280192307,4.5200000000000005,4.5200000000000005,0.9993318392061622,4.84,4.84,1.0092949722423856,5.5600000000000005,5.5600000000000005,1.0225305110136058,0.0044958687100301,True,0,False,6.04,4.98,0.9908712643577431,0.5068453925902949,nan,28,0.19315460740970503,0,0.23212321232123212,0,0,0.13960763107462146,1.5732024950906176,0.20521599799394608,0.7414091378450394,nominal+dam,0,False,0,35.5
S5,1006,nominal+dam,6,7.86,7.86,0.9854898066807257,5.5200000000000005,5.5200000000000005,0.9797325672086751,6.6000000000000005,6.6000000000000005,0.9868716440571917,5.36,5.36,1.1126856093252913,9.82,9.82,1.025297767647173,9.96,9.96,1.0127715173821696,0.0009255694850966187,True,0,False,9.96,7.5200000000000005,1.0171414853835377,0.4984823434096665,nan,67,0.20151765659033344,0,0.3166332665330661,0,0,0.12938493547192856,0.8368867007848779,0.2805436961352825,1.0427380912005901,nominal+dam,0,False,2,55.5
S5,1017,nominal+raw,6,60.0,nan,nan,60.0,nan,nan,9.46,9.46,1.1646763259532098,2.7800000000000002,2.7800000000000002,1.2191249331231122,10.34,10.34,1.0531504147289674,2.48,2.48,1.0440400694109775,0.0,False,2,True,60.0,6.265000000000001,1.1202479358040667,0.16746295925662072,nan,2924,0.5325370407433793,0,0.0,0,0,0.0,0.0,0.001952052116394043,0.00860774889588356,nominal+raw,0,False,3,299.5
